ds,y
8/28/2025,404.52
8/28/2025,975.68
8/28/2025,169.47
8/28/2025,5783.64
8/28/2025,83.81
8/28/2025,87.02
8/28/2025,106.45
8/28/2025,393.69
8/28/2025,4488.62
8/28/2025,4557.9
8/28/2025,286.26
8/28/2025,162.4
8/28/2025,16.76
8/28/2025,21.77
8/28/2025,1507.38
8/28/2025,16.71
8/28/2025,346.02
8/28/2025,12.41
8/28/2025,12.84
8/28/2025,24.49
8/28/2025,16
8/28/2025,12.63
8/28/2025,451.27
8/27/2025,163.94
8/27/2025,1512.95
8/27/2025,132.82
8/27/2025,77557.53
8/27/2025,1694.29
8/27/2025,998.59
8/27/2025,53.56
8/27/2025,854.49
8/27/2025,2452.12
8/27/2025,168.82
8/27/2025,302.29
8/27/2025,109.89
8/27/2025,1
8/27/2025,757.88
8/27/2025,79.26
8/27/2025,29.27
8/27/2025,589.83
8/26/2025,159.36
8/26/2025,27.52
8/26/2025,403.88
8/26/2025,1779.53
8/26/2025,362.71
8/26/2025,796.05
8/26/2025,642.7
8/26/2025,95.71
8/26/2025,108.61
8/26/2025,174.53
8/26/2025,3155
8/26/2025,904.66
8/26/2025,854.77
8/26/2025,681.43
8/26/2025,1174.85
8/26/2025,681.43
8/26/2025,3761.97
8/26/2025,4367.3
8/26/2025,3036.66
8/26/2025,5043.31
8/26/2025,186.07
8/26/2025,661.99
8/25/2025,81928.32
8/25/2025,5176.68
8/25/2025,98.44
8/25/2025,142.71
8/25/2025,31.44
8/25/2025,643.28
8/25/2025,1001.25
8/25/2025,179.31
8/25/2025,121.82
8/25/2025,85.66
8/25/2025,192.74
8/25/2025,164.79
8/25/2025,6191
8/25/2025,988.41
8/25/2025,25.51
8/25/2025,15421.42
8/25/2025,6332131
8/25/2025,193.72
8/25/2025,71.41
8/25/2025,77.61
8/25/2025,1088.97
8/25/2025,52.86
8/25/2025,28.93
8/25/2025,5125
8/25/2025,65.26
8/25/2025,2211
8/25/2025,1001.79
8/25/2025,235.44
8/25/2025,3048.88
8/25/2025,2321.58
8/25/2025,61.02
8/25/2025,1578.39
8/25/2025,198125
8/25/2025,1317.88
8/25/2025,54.98
8/22/2025,2604.15
8/22/2025,3551.92
8/22/2025,775.4
8/22/2025,416.98
8/22/2025,327179
8/22/2025,64.03
8/22/2025,559.51
8/22/2025,5195.15
8/22/2025,2172
8/22/2025,2183
8/22/2025,42.76
8/22/2025,445.54
8/22/2025,6136
8/22/2025,15.73
8/22/2025,128.56
8/22/2025,10505.43
8/22/2025,223.67
8/22/2025,1741.52
8/22/2025,623.96
8/22/2025,1185.1
8/22/2025,689.59
8/22/2025,562.83
8/22/2025,126.76
8/22/2025,163.21
8/22/2025,99.4
8/22/2025,56.2
8/22/2025,101.04
8/22/2025,383.99
8/22/2025,4218.83
8/22/2025,3073.32
8/22/2025,1586
8/22/2025,635.39
8/22/2025,322.08
8/22/2025,54122
8/22/2025,193.3
8/22/2025,96.38
8/22/2025,147.75
8/22/2025,77.41
8/22/2025,283.65
8/22/2025,317
8/22/2025,39.69
8/22/2025,24.07
8/22/2025,732.48
8/22/2025,79131
8/22/2025,1545.98
8/22/2025,53.4
8/21/2025,192.21
8/21/2025,129.05
8/21/2025,152.51
8/21/2025,769.37
8/21/2025,68.75
8/21/2025,1279.64
8/21/2025,639.82
8/21/2025,1689.59
8/21/2025,5314
8/21/2025,1689.59
8/21/2025,10316
8/21/2025,1843.19
8/21/2025,10316
8/21/2025,76.61
8/21/2025,13605.8
8/21/2025,5314
8/20/2025,61.28
8/20/2025,57.01
8/20/2025,1597.97
8/20/2025,21174
8/20/2025,535.06
8/20/2025,274.75
8/20/2025,862.34
8/20/2025,109.64
8/20/2025,206.8
8/20/2025,275.74
8/20/2025,802.71
8/20/2025,385.38
8/20/2025,15134
8/20/2025,24161
8/20/2025,897.24
8/20/2025,421.16
8/20/2025,636.39
8/20/2025,422.58
8/20/2025,64176
8/20/2025,58.32
8/20/2025,35.67
8/20/2025,1434.61
8/20/2025,43.88
8/20/2025,155
8/20/2025,2.3
8/20/2025,13187
8/20/2025,294166
